,Users Northstar ID,Users Count Distinct Northstar ID
1,54fa2759469c64d7068b4697,1
2,54fa2759469c64d8068b4697,1
3,54fa275e469c64d7068b46b5,1
4,54fa275e469c64d8068b46b8,1
5,54fa275f469c64d7068b46b9,1
6,54fa275f469c64d8068b46ba,1
7,54fa275f469c64d8068b46bd,1
8,54fa2760469c64d7068b46c0,1
9,54fa2760469c64d8068b46c0,1
10,54fa2760469c64d8068b46c3,1
11,54fa2760469c64d8068b46c5,1
12,54fa2760469c64d8068b46c6,1
13,54fa2761469c64d8068b46cc,1
14,54fa2762469c64d7068b46cc,1
15,54fa2762469c64d8068b46ce,1
16,54fa2762469c64d8068b46d0,1
17,54fa2762469c64d8068b46d2,1
18,54fa2763469c64d7068b46d6,1
19,54fa2763469c64d8068b46d4,1
20,54fa2764469c64d7068b46dc,1
21,54fa2764469c64d8068b46db,1
22,54fa2764469c64d8068b46dc,1
23,54fa2764469c64d8068b46dd,1
24,54fa2764469c64d8068b46df,1
25,54fa2764469c64d8068b46e0,1
26,54fa2765469c64d7068b46e2,1
27,54fa2765469c64d7068b46e3,1
28,54fa2766469c64d7068b46e6,1
29,54fa2767469c64d7068b46f3,1
30,54fa2767469c64d8068b46f0,1
31,54fa2767469c64d8068b46f1,1
32,54fa2768469c64d7068b46f6,1
33,54fa2768469c64d8068b46f8,1
34,54fa2769469c64d7068b46fb,1
35,54fa2769469c64d7068b46fc,1
36,54fa2769469c64d7068b46fe,1
37,54fa2769469c64d7068b46ff,1
38,54fa2769469c64d8068b46ff,1
39,54fa276a469c64d8068b4701,1
40,54fa276a469c64d8068b4704,1
41,54fa276b469c64d7068b470a,1
42,54fa276b469c64d8068b470b,1
43,54fa276c469c64d7068b4714,1
44,54fa276c469c64d7068b4715,1
45,54fa276c469c64d8068b470f,1
46,54fa276d469c64d7068b4718,1
47,54fa276d469c64d7068b471a,1
48,54fa276d469c64d8068b4716,1
49,54fa276d469c64d8068b4717,1
50,54fa276e469c64d7068b471d,1
51,54fa276e469c64d8068b471d,1
52,54fa276e469c64d8068b471e,1
53,54fa276e469c64d8068b471f,1
54,54fa276e469c64d8068b4722,1
55,54fa276f469c64d7068b4723,1
56,54fa276f469c64d8068b4726,1
57,54fa2770469c64d7068b472a,1
58,54fa2770469c64d8068b4729,1
59,54fa2770469c64d8068b472b,1
60,54fa2770469c64d8068b472c,1
61,54fa2771469c64d8068b4732,1
62,54fa2772469c64d7068b4735,1
63,54fa2773469c64d8068b4740,1
64,54fa2774469c64d7068b4746,1
65,54fa2774469c64d7068b4747,1
66,54fa2774469c64d7068b4749,1
67,54fa2774469c64d8068b4745,1
68,54fa2774469c64d8068b4748,1
69,54fa2774469c64d8068b4749,1
70,54fa2775469c64d7068b474b,1
71,54fa2775469c64d8068b474b,1
72,54fa2775469c64d8068b474e,1
73,54fa2776469c64d7068b4751,1
74,54fa2776469c64d8068b4751,1
75,54fa2776469c64d8068b4754,1
76,54fa2777469c64d7068b4757,1
77,54fa2777469c64d7068b475b,1
78,54fa2777469c64d8068b4757,1
79,54fa2777469c64d8068b4759,1
80,54fa2778469c64d7068b475e,1
81,54fa2778469c64d7068b475f,1
82,54fa2778469c64d7068b4763,1
83,54fa2778469c64d8068b4764,1
84,54fa2779469c64d7068b4764,1
85,54fa2779469c64d7068b4765,1
86,54fa2779469c64d8068b4766,1
87,54fa277a469c64d7068b476a,1
88,54fa277a469c64d7068b476b,1
89,54fa277a469c64d7068b476c,1
90,54fa277a469c64d8068b476a,1
91,54fa277a469c64d8068b476b,1
92,54fa277a469c64d8068b4770,1
93,54fa277b469c64d7068b4773,1
94,54fa277b469c64d7068b4774,1
95,54fa277b469c64d7068b4775,1
96,54fa277b469c64d8068b4774,1
97,54fa277b469c64d8068b4775,1
98,54fa277b469c64d8068b4776,1
99,54fa277c469c64d7068b4779,1
100,54fa277c469c64d7068b477e,1
101,54fa277c469c64d8068b477a,1
102,54fa277c469c64d8068b477b,1
103,54fa277d469c64d7068b4780,1
104,54fa277d469c64d8068b4782,1
105,54fa277e469c64d7068b4786,1
106,54fa277e469c64d7068b478b,1
107,54fa277e469c64d8068b4785,1
108,54fa277e469c64d8068b4789,1
109,54fa2780469c64d8068b4796,1
110,54fa2781469c64d7068b4798,1
111,54fa2782469c64d8068b47a1,1
112,54fa2782469c64d8068b47a2,1
113,54fa2784469c64d7068b47b0,1
114,54fa2784469c64d7068b47b1,1
115,54fa2785469c64d7068b47b4,1
116,54fa2785469c64d7068b47b5,1
117,54fa2785469c64d7068b47b7,1
118,54fa2785469c64d7068b47b8,1
119,54fa2785469c64d8068b47b3,1
120,54fa2785469c64d8068b47b4,1
121,54fa2786469c64d7068b47b9,1
122,54fa2786469c64d7068b47ba,1
123,54fa2786469c64d7068b47bb,1
124,54fa2786469c64d7068b47bd,1
125,54fa2786469c64d8068b47b8,1
126,54fa2786469c64d8068b47b9,1
127,54fa2786469c64d8068b47ba,1
128,54fa2786469c64d8068b47bd,1
129,54fa2787469c64d7068b47c1,1
130,54fa2787469c64d8068b47c2,1
131,54fa2788469c64d7068b47c8,1
132,54fa2788469c64d7068b47c9,1
133,54fa2788469c64d7068b47ca,1
134,54fa2788469c64d8068b47cb,1
135,54fa2789469c64d7068b47ce,1
136,54fa2789469c64d8068b47cd,1
137,54fa278a469c64d7068b47d6,1
138,54fa278a469c64d8068b47d2,1
139,54fa278a469c64d8068b47d5,1
140,54fa278a469c64d8068b47d6,1
141,54fa278a469c64d8068b47d7,1
142,54fa278b469c64d7068b47dd,1
143,54fa278b469c64d8068b47d9,1
144,54fa278b469c64d8068b47da,1
145,54fa278c469c64d7068b47e1,1
146,54fa278c469c64d7068b47e4,1
147,54fa278c469c64d7068b47e5,1
148,54fa278c469c64d8068b47e3,1
149,54fa278d469c64d7068b47e7,1
150,54fa278d469c64d7068b47ea,1
151,54fa278d469c64d7068b47eb,1
152,54fa278d469c64d7068b47ec,1
153,54fa278e469c64d7068b47f1,1
154,54fa278e469c64d7068b47f2,1
155,54fa278e469c64d7068b47f3,1
156,54fa278e469c64d8068b47ec,1
157,54fa278e469c64d8068b47ed,1
158,54fa278e469c64d8068b47ef,1
159,54fa278f469c64d7068b47f8,1
160,54fa278f469c64d7068b47f9,1
161,54fa278f469c64d7068b47fa,1
162,54fa278f469c64d8068b47f8,1
163,54fa2790469c64d7068b47fd,1
164,54fa2790469c64d8068b47fb,1
165,54fa2790469c64d8068b47fd,1
166,54fa2790469c64d8068b47fe,1
167,54fa2791469c64d7068b4802,1
168,54fa2791469c64d7068b4804,1
169,54fa2791469c64d7068b4805,1
170,54fa2791469c64d8068b4803,1
171,54fa2791469c64d8068b4804,1
172,54fa2792469c64d7068b4808,1
173,54fa2792469c64d7068b480b,1
174,54fa2792469c64d8068b480a,1
175,54fa2793469c64d7068b4810,1
176,54fa2793469c64d7068b4812,1
177,54fa2793469c64d8068b480f,1
178,54fa2793469c64d8068b4814,1
179,54fa2794469c64d7068b4815,1
180,54fa2794469c64d7068b4816,1
181,54fa2794469c64d7068b4819,1
182,54fa2794469c64d8068b4816,1
183,54fa2794469c64d8068b481a,1
184,54fa2795469c64d8068b481b,1
185,54fa2796469c64d7068b4823,1
186,54fa2796469c64d7068b4824,1
187,54fa2796469c64d7068b4825,1
188,54fa2796469c64d7068b4827,1
189,54fa2796469c64d7068b4828,1
190,54fa2796469c64d8068b4823,1
191,54fa2796469c64d8068b4826,1
192,54fa2797469c64d7068b4829,1
193,54fa2797469c64d7068b482c,1
194,54fa2797469c64d7068b482f,1
195,54fa2798469c64d8068b4831,1
196,54fa2798469c64d8068b4833,1
197,54fa2799469c64d7068b483b,1
198,54fa2799469c64d8068b4835,1
199,54fa279a469c64d7068b483c,1
200,54fa279a469c64d7068b4841,1
201,54fa279a469c64d8068b483c,1
202,54fa279a469c64d8068b483e,1
203,54fa279b469c64d7068b4845,1
204,54fa279b469c64d7068b4846,1
205,54fa279c469c64d7068b484c,1
206,54fa279d469c64d7068b4852,1
207,54fa279d469c64d8068b4851,1
208,54fa279e469c64d7068b4857,1
209,54fa27a0469c64d8068b4863,1
210,54fa27a1469c64d7068b486f,1
211,54fa27a2469c64d7068b4876,1
212,54fa27a2469c64d8068b4872,1
213,54fa27a2469c64d8068b4873,1
214,54fa27a3469c64d7068b4878,1
215,54fa27a3469c64d7068b487b,1
216,54fa27a3469c64d7068b487d,1
217,54fa27a3469c64d8068b4877,1
218,54fa27a3469c64d8068b487a,1
219,54fa27a3469c64d8068b487c,1
220,54fa27a4469c64d7068b487f,1
221,54fa27a4469c64d7068b4880,1
222,54fa27a4469c64d7068b4882,1
223,54fa27a4469c64d7068b4883,1
224,54fa27a4469c64d8068b4882,1
225,54fa27a6469c64d7068b488b,1
226,54fa27a6469c64d7068b488d,1
227,54fa27a6469c64d8068b488b,1
228,54fa27a6469c64d8068b488e,1
229,54fa27a7469c64d7068b4898,1
230,54fa27a7469c64d8068b4893,1
231,54fa27a7469c64d8068b4895,1
